ra,dec,Vhel,Vhel_error,mem
260.1471863,57.90205002,-292.7,0.2,1
260.0209656,57.93846893,-301.2,1,1
260.0028992,57.89627457,-301.4,0.4,1
260.1424866,57.89219666,-286.9,0.3,1
260.1596985,57.92563629,-288.3,0.8,1
260.1236572,57.87275314,-295.3,1.7,0.999999821
260.1593933,57.91341782,-292.9,0.7,1
260.1289063,57.96492004,-291.3,1.2,0.999997854
260.0022583,57.88238907,-292.2,0.4,0.99999994
259.9989319,57.91830826,-293.9,0.4,1
260.1632996,57.93264008,-291.7,2.3,0.999999821
260.0393066,57.95885849,-300,1.3,1
260.126709,57.96817017,-298.7,1.1,1
260.0805054,57.85541534,-277.5,1.1,1
260.1479492,57.88722229,-302.9,1.3,0.999996364
259.9927368,57.90878296,-278.2,1.3,0.999995649
260.1679688,57.93836212,-293.4,0.8,1
260.0845032,57.97750092,-287.1,0.9,1
260.021759,57.95622253,-292.7,1.9,0.999998391
260.1190796,57.86044693,-287.1,1.6,1
260.1618347,57.95680237,-289.3,1.8,0.999786615
260.144043,57.97016525,-288,1.1,1
260.1634521,57.95741653,-275.8,1,1
260.0081177,57.8584404,-310,0.3,1
260.1584473,57.96266174,-302.8,2,0.999985337
260.1421509,57.97291565,-293.1,2.7,0.997483075
259.9858093,57.878582,-296.2,0.9,1
260.1664429,57.89327622,-296.4,2.7,0.999975264
260.0436707,57.97244263,-287.5,0.7,1
260.1676636,57.95914078,-298.6,0.4,1
260.0066223,57.95127869,-296.4,0.5,1
259.9806824,57.91650009,-285.5,1.1,1
260.0984497,57.98558807,-297.4,0.4,1
260.1651001,57.88546753,-289.9,1.8,1
260.1368408,57.86219406,-300.8,0.3,1
260.0235291,57.96625137,-294,1.7,0.999723077
260.0709229,57.98389053,-307.5,0.3,1
260.1845093,57.92396927,-292.5,2.5,1
259.9737549,57.89419174,-283.1,1.7,0.999999642
260.1152649,57.85019302,-294.4,1.8,0.999254405
260.1853943,57.91988754,-295,1.4,1
259.9894104,57.94113922,-289.6,1.3,0.999999821
260.0152893,57.96386337,-290.3,2.2,0.999996305
260.1597595,57.97419357,-294.1,1.2,1
260.1863709,57.91650009,-289.5,0.6,1
259.9970398,57.95050049,-303.4,1.3,1
260.0829773,57.98816681,-307.6,0.3,1
260.1569824,57.87127686,-302.8,1.7,0.999998868
260.1634216,57.87632752,-293.1,0.6,1
260.1907959,57.92810822,-280.6,1.6,0.993265867
259.9678345,57.88624573,-309.9,2,0.999983966
260.153656,57.98213959,-297.3,1.6,0.999997914
260.0221863,57.83839035,-290.9,0.7,1
259.9829712,57.85680389,-289.9,0.6,1
260.1711121,57.97377396,-293.8,0.6,1
259.9953918,57.95580673,-271.2,0.5,1
259.9891357,57.84919357,-287.2,2.6,1
260.0063782,57.96650314,-289.3,1.2,0.99999994
260.1969604,57.92300034,-302.8,1.3,1
260.1319275,57.84864426,-290.1,0.5,1
260.1558838,57.98681259,-278.7,0.3,1
259.9763794,57.85622025,-297.9,1.6,0.999984443
260.0747986,57.99660873,-281.9,1.3,0.999999046
260.1551209,57.85796738,-306.3,1.4,0.999999762
260.2005005,57.91569519,-289.7,0.7,1
260.0484619,57.82677841,-291.9,0.6,1
260.1952209,57.96063995,-296.6,2.7,0.999740779
259.9595032,57.92227554,-296.6,0.7,1
260.1982117,57.90236282,-288.9,0.3,1
260.0558472,57.99569321,-299.1,2.2,0.991073549
259.9774475,57.95185852,-300.1,0.5,1
260.203186,57.9540596,-294.9,1.4,0.99999994
260.1448975,57.99910736,-298,0.5,1
259.9902649,57.83486557,-294.5,0.6,1
260.0880127,57.82422257,-294.9,0.4,1
260.1990967,57.8900528,-291.4,1.1,0.999999464
260.1660156,57.85424805,-283,0.3,1
260.1397095,57.83877945,-276.4,0.4,1
260.0220337,57.98997116,-283.2,1.7,0.999998629
259.9758301,57.9623909,-296.8,1.6,0.987320721
259.9585266,57.9446373,-274.4,0.5,1
259.9406128,57.90772247,-296.4,1,1
260.218811,57.91961289,-287.2,1.1,1
260.0360413,57.99919128,-315.4,1.6,0.99999994
260.1830444,57.86258316,-291.4,0.6,0.999999821
260.2208252,57.93271637,-296,0.3,1
260.2208252,57.94102478,-284.2,0.3,1
259.9497375,57.93745041,-289.5,2.9,0.999988735
260.1654663,57.84724808,-293.1,0.9,1
260.1443787,58.01060867,-303,1.3,0.998767555
260.1605835,58.00680542,-298.7,0.5,1
260.0244751,57.99730682,-283.8,2.3,1
260.2008362,57.98472595,-294.4,0.9,1
260.1855774,57.86100388,-288.1,0.6,1
260.063446,58.00971985,-289.3,2.1,0.999961257
260.0115051,57.81589127,-294.1,2.6,0.997983754
259.9588013,57.95288849,-284.6,1.1,0.999995708
260.2257385,57.92219162,-292.7,1.3,1
260.0686951,57.81122589,-294.5,1.5,1
260.1152649,58.01652527,-296.2,2.4,0.999981463
