ra,dec,Vhel,Vhel_error,Fe_H,Fe_H_error,mem
168.347123,22.221428,72.278,0.9391485506,-1.814597855,0.2013693071,1
168.366421,22.123087,78.50466065,0.6865519284,-1.343434022,0.175085943,1
168.382802,22.082248,87.96029175,1.027947672,-2.125157729,0.2587795305,1
168.395187,22.104883,75.50928186,0.6222961942,-1.249104666,0.166982152,1
168.394658,22.18388,85.37193924,0.6922169077,-1.482827401,0.1710395663,1
168.428379,22.235459,86.19493021,1.094631467,-2.443474738,0.2181035559,1
168.462098,22.20772,76.74156517,1.15125944,-1.858783053,0.1757011902,1
168.472271,22.246066,83.31618427,1.062767915,-2.413879733,0.2368016282,1
168.498916,22.113254,78.63140415,0.8854703191,-1.183078863,0.3087370806,1
168.516204,22.174784,85.45919215,0.7300474419,-2.745992177,0.125023497,1
168.332825,22.139639,71.08,2.19,0.17,0.53,1
168.331375,22.146915,75,0.91,-1.26,0.22,1
168.39296,22.15325,71.64,0.78,-2.11,0.18,1
168.368866,22.138166,75.43,1.85,0.29,0.52,1
168.34137,22.138805,84.19,2.35,0.64,0.57,1
168.326935,22.142139,76.27,1.81,-1.48,0.56,1
168.28164,22.158394,70.1,1.09,-1.11,0.52,1
168.304767,22.13127,79.65,0.68,-1.46,0.16,1
168.261342,22.12066,75.44,1.2,-0.09,0.72,1
168.265818,22.09637,70.11,2.43,-1.02,0.53,1
168.272724,22.115792,65.5,1.22,-1.52,0.51,1
168.30731,22.071999,77.97,1.29,-2.48,0.34,1
168.265289,22.139937,84.51,2.42,-0.82,0.94,1
168.279338,22.157528,77.14,1.71,-1.41,0.51,1
168.292953,22.151511,71.45,1.67,-1.94,0.59,1
168.365346,22.170285,83.43,1.43,-2.51,0.26,1
168.33671,22.142885,75.73,0.87,-0.72,0.19,1
168.383543,22.149615,70.98,0.86,-1.73,0.2,1
168.365372,22.177712,80.39,0.73,-0.83,0.18,1
168.372743,22.163738,85.57,0.77,-1.2,0.2,1
168.380019,22.140152,69.81,0.99,-2.18,0.15,1
168.373341,22.149361,82.94,1.39,-1.74,0.3,1
168.369883,22.146404,87.07,0.59,-1.47,0.12,1
168.383842,22.153266,82.17,0.78,-1.27,0.22,1
168.424703,22.093107,70.57,1.09,-2.17,0.36,1
168.307823,22.147241,67.04,0.94,-1.82,0.12,1
168.324119,22.151826,78.71,0.69,-1.13,0.16,1
168.314674,22.150231,79.39,1.16,-0.13,0.29,1
168.315467,22.151526,68.67,1.25,-1.88,0.43,1
168.320595,22.100961,80.78,1.22,-0.45,0.39,1
168.326167,22.112404,78.56,0.64,-0.79,0.15,1
168.332535,22.096383,76.73,1.25,-0.79,0.31,1
168.323001,22.20227,75.59,0.67,-2.03,0.11,1
168.332447,22.155648,84.45,0.81,-1.11,0.16,1
168.332647,22.162751,71.84,0.78,-0.07,0.14,1
168.335991,22.159365,79.97,1.43,-1.89,0.36,1
168.339449,22.087781,75.56,1.98,-0.33,0.39,1
168.335836,22.120783,71.28,1.07,-1.44,0.32,1
168.344921,22.098423,64.82,0.75,-1.94,0.18,1
168.336875,22.191882,73.71,1.3,-1.16,0.33,1
168.339014,22.177162,61.23,0.99,-0.94,0.21,1
168.351373,22.092882,74.77,0.77,-1.92,0.14,1
168.342671,22.148342,94.94,0.7,-1.75,0.13,1
