ra,dec,Vhel,Vhel_error,mem
227.303421,67.55325317,-261.9,0.67,0.996
226.4712677,67.09449768,-244.1,1.02,0.996
226.6610718,66.97769165,-246.6,0.6,0.998
226.9278717,66.90325165,-241.4,0.97,0.993
227.1247101,66.87227631,-245.49,1.31,0.998
228.2024536,67.18535614,-254.3,2.7,0.996
228.0721283,67.02911377,-243.5,1.39,0.998
226.4735565,67.37547302,-254.8,0.85,0.998
228.1864624,67.31178284,-230.4,0.56,0.991
227.7963715,66.90658569,-229.8,0.94,0.989
226.4469147,67.39086151,-235.7,1.49,0.994
226.6264648,66.94477844,-244.4,0.43,0.999
226.3307495,67.31155396,-242.6,3.21,0.983
227.5022583,66.82541656,-261.3,1.81,0.992
226.8020782,66.86047363,-242.6,1.84,0.997
228.2797394,67.05428314,-237.9,1.87,0.996
226.626709,66.89227295,-246,0.82,0.997
228.358551,67.27288818,-249.84,0.58,0.999
226.7478027,66.85300446,-266.1,2.09,0.97
226.5665894,66.90210724,-245.6,0.99,0.998
228.3760834,67.11030579,-229.97,0.34,0.99
228.3708801,67.07975006,-237.7,8.36,0.991
227.0290833,66.77697754,-236.1,1.24,0.988
227.9744568,66.8311615,-253.19,0.66,0.995
227.404541,66.6372757,-251.6,1.28,0.992
226.5946655,67.76667023,-255.5,2.17,0.991
228.3570557,67.68047333,-257.33,1.25,0.982
226.3260345,66.66747284,-232.2,1.82,0.968
228.3611603,67.74416351,-246.3,1.7,0.989
228.6421204,67.67230225,-252.9,3.3,0.989
228.7449036,67.72293854,-248.9,0.77,0.992
227.3262939,66.44242096,-257.3,0.66,0.992
228.1011658,67.9659729,-246.09,1.26,0.987
228.9517822,67.74346924,-254.1,1.39,0.991
226.2321777,66.47769928,-236.2,1.13,0.985
229.0662079,67.80086517,-244.4,2.31,0.979
